nb_pieces,lien,titre,surface,nb_chambres,annee_constr,nb_features_int,features_int,features_ext,terrain,prix,type,villes,piscine,place_parking,cuisine_amenagee,ascenseur,sous_sol,balcons,terrasses,caves,garages
2,https://www.laforet.com/agence-immobiliere/elbeuf/acheter/elbeuf/appartement-2-pieces-21479050,Appartement T2 pres de Elbeuf,47,1,0,2,1 cave(s),,0,59000,Appartement,Elbeuf,0,0,0,0,0,0,0,1,0
1,https://www.laforet.com/agence-immobiliere/elbeuf/acheter/elbeuf/appartement-1-piece-21479049,Appartement T1 Elbeuf,22,1,0,2,Cuisine Amenagee,,0,42000,Appartement,Elbeuf,0,0,1,0,0,0,0,0,0
2,https://www.laforet.com/agence-immobiliere/paris10republique/acheter/paris-10/appartement-2-pieces-21479022,Appartement T2 Paris 10,19,1,1830,0,,,0,200000,Appartement,Paris 10,0,0,0,0,0,0,0,0,0
3,https://www.laforet.com/agence-immobiliere/paris12garedelyon/acheter/paris-13/appartement-3-pieces-21479003,Appartement T3 Paris 13,68,2,1972,4,"Avec ascenseur, 1 cave(s)",,0,630000,Appartement,Paris 13,0,0,0,1,0,0,0,1,0
3,https://www.laforet.com/agence-immobiliere/lecannetdesmaures/acheter/le-luc/appartement-3-pieces-21478989,Appartement T3 Le Luc,60,2,2018,10,"Cuisine Equipee, Avec ascenseur, 1 terrasse(s), Avec sous-sol, 1 garage(s)",1 place(s) int.,0,219000,Appartement,Le Luc,0,1,0,1,1,0,1,0,1
2,https://www.laforet.com/agence-immobiliere/paris18abbesses/acheter/paris-09/appartement-2-pieces-21478948,Appartement T2 Paris 09,40,1,1890,2,1 cave(s),,0,525000,Appartement,Paris 09,0,0,0,0,0,0,0,1,0
3,https://www.laforet.com/agence-immobiliere/paris18montmartre/acheter/paris-18/appartement-3-pieces-21478939,Appartement T3 Paris 18,61,2,0,2,Cuisine Independante,,0,680000,Appartement,Paris 18,0,0,0,0,0,0,0,0,0
3,https://www.laforet.com/agence-immobiliere/paris18montmartre/acheter/paris-18/appartement-3-pieces-21478938,Appartement T3 Paris 18,77,2,1995,6,"Avec ascenseur, 1 balcon(s), 1 cave(s)",,0,870000,Appartement,Paris 18,0,0,0,1,0,1,0,1,0
5,https://www.laforet.com/agence-immobiliere/angers/acheter/angers/appartement-5-pieces-21478923,Appartement T5 Angers,113,3,2021,12,"Cuisine Amenagee/equipee, Avec ascenseur, 2 balcon(s), 1 terrasse(s), Avec sous-sol, 1 garage(s)",,0,447800,Appartement,Angers,0,0,1,1,1,2,1,0,1
2,https://www.laforet.com/agence-immobiliere/paris18montmartre/acheter/paris-09/appartement-2-pieces-21478906,Appartement T2 Paris 09,40,1,1890,2,1 cave(s),,0,525000,Appartement,Paris 09,0,0,0,0,0,0,0,1,0
2,https://www.laforet.com/agence-immobiliere/paris18montmartre/acheter/paris-18/appartement-2-pieces-21478905,Appartement T2 Paris 18,45,1,0,0,,,0,513000,Appartement,Paris 18,0,0,0,0,0,0,0,0,0
2,https://www.laforet.com/agence-immobiliere/paris18montmartre/acheter/paris-18/appartement-2-pieces-21478902,Appartement T2 Paris 18,37,1,0,0,,,0,439000,Appartement,Paris 18,0,0,0,0,0,0,0,0,0
2,https://www.laforet.com/agence-immobiliere/paris18montmartre/acheter/paris-18/appartement-2-pieces-21478901,Appartement T2 Paris 18,36,1,1880,2,Cuisine Ouverte,,0,389480,Appartement,Paris 18,0,0,0,0,0,0,0,0,0
2,https://www.laforet.com/agence-immobiliere/paris18montmartre/acheter/paris-18/appartement-2-pieces-21478899,Appartement T2 Paris 18,32,1,0,4,"Cuisine Independante, 1 cave(s)",,0,348140,Appartement,Paris 18,0,0,0,0,0,0,0,1,0
1,https://www.laforet.com/agence-immobiliere/paris18montmartre/acheter/paris-18/appartement-1-piece-21478898,Appartement T1 Paris 18,29,1,1932,4,"Cuisine Independante, Avec ascenseur",,0,347750,Appartement,Paris 18,0,0,0,1,0,0,0,0,0
